歌星id,歌星名称
"357","高明骏"
"358","杨林"
"359","于文华"
"360","尹相杰"
"361","陈志朋"
"362","程琳"
"363","王昆"
"364","刘欢"
"365","罗中旭"
"367","李谷一"
"368","李春波"
"369","龙千玉"
"370","谈芳兵"
"372","黄乙玲"
"373","金城武"
"374","黄磊"
"375","轮回乐队"
"376","陈雷"
"378","范琳琳"
"379","汪明荃"
"381","陈松伶"
"382","蔡秋凤"
"383","蔡振南"
"384","张洪量"
"385","蔡淳佳"
"386","袁惟仁"
"387","蓝心湄"
"388","谢若琳"
"389","卢冠廷"
"390","黎姿"
"391","张艾嘉"
"392","伊扬"
"393","袁洁莹"
"394","小刚"
"395","林玉英"
"396","杭天琪"
"397","陈小云"
"399","卢春如"
"401","王宇婕"
"402","凯璐凯月"
"403","曾庆瑜"
"404","叶凡"
"405","小虫"
"406","潘劲东"
"407","叶瑷菱"
"408","梁家辉"
"409","卜学亮"
"410","吴雁泽"
"411","关菊英"
"412","谢东"
"413","李杰"
"414","白冰冰"
"415","袁凤瑛"
"416","詹雅雯"
"418","付笛声"
"419","何润东"
"420","满江"
"421","黄思婷"
"423","陈秀雯"
"424","小柯"
"425","李双江"
"426","邝美云"
"428","余天"
"429","范振锋"
"430","许巍"
"431","康晋荣"
"432","吕珊"
"433","胡松华"
"434","秀兰玛雅"
"435","奥杰阿格"
"436","萧潇"
"437","伍佰"
"438","蔡国庆"
"439","郭子"
"440","黄立行"
"443","Michael Jackson"
"444","朱哲琴"
"445","黑鸭子"
"446","张家辉"
"448","关咏荷"
"449","黄大炜"
"453","翁虹"
"456","何耀珊"
"457","谢丽金"
"458","陆萍"
"459","叶蓓"
"460","陈百祥"
"461","冯德伦"
"462","熊卿才"
"463","张明敏"
"464","叶振棠"
"465","林宸希"
"466","景岗山"
"467","高林生"
"468","刁寒"
"469","德德玛"
"470","刘小丽"
"471","德乾旺姆"
"472","卢秀梅"
"473","阿牛"
"474","火风"
"475","中国娃娃"
"476","金波"
"477","高枫"
"478","车婉婉"
"479","郭颂"
"480","周鹏"
"483","陈盈洁"
"485","万山红"
"488","罗宁娜"
"489","江珊"
"490","俞静"
"492","林海峰"
"493","彭丽媛"
"494","汪佩蓉"
"497","李丹阳"
"498","新宝岛康乐队"
"499","李贞贤"
"500","朱明瑛"
"501","戴娆"
"502","崔健"
"503","城市姐妹"
"504","吴琼"
"505","李湘"
"506","何勇"
"507","温碧霞"
"512","袁世海"
"514","汤灿"
"515","欧阳菲菲"
"516","孙浩"
"517","叶佩雯"
"518","红线女"
"519","何嘉莉"
"520","赵本山"
"521","谷祖琳"
"522","梦鸽"
"523","殷秀梅"
"524","张德兰"
"525","张智成"
"526","韩延文"
"527","张萌萌"
"528","董事长乐团"
"529","朱晓琳"
"530","郑嘉颖"
"532","关牧村"
"533","倮倮"
"534","郭兰英"
"535","张立基"
"537","祖海"
"538","彝人制造"
"539","王建杰"
"540","林姗"
"541","谭耀文"
"542","丁菲飞"
"543","刘嘉玲"
"544","林志美"
"545","于冠华"
"546","王洛宾"
"547","温拿乐队"
"548","陈浩民"
"549","王子鸣"
"550","丁薇"
"552","蔡立儿"
"554","吴涤清"
"555","李国祥"
"556","思浓思雨"
"558","四分卫"
"563","刘小钰"
"564","林青霞"
"565","费玉清"
"566","奚秀兰"
"567","佟铁鑫"
"568","小雪"
"569","周子寒"
"570","NRG"
"571","陈汝佳"
"572","GOGO MEME"
"573","蔡红虹"
"574","刘美君"
"575","韩晓"
"576","WhitneyHuston"
"577","蔚华"
"578","伦永亮"
"580","尤嘉"
"581","红豆"
"582","方芳"
"583","卢巧音"
"584","心跳男孩"
"585","刘锡明"
"586","林嘉欣"
"587","廖百威"
"588","李慧珍"
"589","吕继宏"
"590","陈思思"
"591","陶慧敏"
"592","谢雷"
"593","STING"
"594","周启生"
"595","张宏声"
"596","张迈"
"597","Celinedion"
"598","婷婷"
"599","郑源"
"600","黄嘉千"
"601","吴君如"
"602","蔡小虎"
"603","王雪娥"
"604","方季惟"
"605","中坚份子"
"606","曾航生"
"607","林佳仪"
"609","李进"
"610","许哲珮"
"612","孙萌"
"613","容中尔甲"
"615","冯晓泉"
"616","陈雅珍"
